,Sample,Sample ID,Sample wt,N response,C response,carbon_in_sample,pct_soc,,
_1_25_2021 9_22_22 AM_209,3C8,146,43.42,762.42,16461.78,3.15,7.25,,
_1_25_2021 9_28_23 AM_210,3C9,146,37.35,698.24,15488.05,2.96,7.93,,
_1_25_2021 9_34_23 AM_211,3C11,146,35.25,653.79,14463.77,2.77,7.85,,
_1_25_2021 7_16_58 PM_013,f2,390,42.31,90.33,964.93,0.20,0.47,,
_1_25_2021 7_22_59 PM_014,f3,390,47.53,89.36,922.82,0.19,0.40,,
_1_25_2021 7_29_00 PM_015,f5,390,42.79,89.30,933.27,0.19,0.45,,
_1_25_2021 7_35_02 PM_016,f6,390,29.08,71.32,717.61,13.02,0.45,,
_1_25_2021 8_05_08 PM_021,f11,404,38.86,94.50,1212.63,0.24,0.62,,
_1_25_2021 8_11_10 PM_022,f12,404,47.39,103.75,1484.18,0.29,0.61,,
_1_25_2021 8_17_11 PM_023,g1,404,46.93,105.52,1416.28,0.28,0.59,,
_1_25_2021 8_23_13 PM_024,g2,404,40.52,97.95,1317.76,0.26,0.64,,
_1_25_2021 10_58_31 AM_225,3E5,438,41.78,129.33,1696.63,0.33,0.78,,
_1_25_2021 11_04_32 AM_226,3E6,438,36.23,120.43,1520.80,0.29,0.81,,
_1_25_2021 11_10_33 AM_227,3E7,438,45.52,129.48,1740.69,0.33,0.73,,
_1_25_2021 11_16_33 AM_228,3E8,438,35.80,120.38,1538.19,0.30,0.83,,
_1_25_2021 7_46_13 AM_193,3B9,511,40.63,103.79,1357.71,0.26,0.65,,
_1_25_2021 7_52_13 AM_194,3B10,511,44.73,118.43,1541.33,0.30,0.67,,
_1_25_2021 7_58_13 AM_195,3B11,511,46.82,125.21,1649.69,0.32,0.68,,
_1_25_2021 8_04_14 AM_196,3B12,511,29.31,94.83,964.70,0.19,0.65,,
_1_25_2021 10_23_39 PM_034,g12,594,38.04,98.74,1174.37,0.22,0.59,,
_1_25_2021 10_29_41 PM_035,h1,594,47.77,108.40,1442.59,0.28,0.59,,
_1_25_2021 10_35_42 PM_036,h2,594,38.99,100.10,1192.08,0.23,0.59,,
_1_25_2021 10_41_44 PM_037,h3,594,47.78,109.58,1471.73,0.29,0.60,,
_1_25_2021 10_47_44 PM_038,h4,594,42.80,105.23,1315.24,0.25,0.59,,
_1_25_2021 10_04_26 AM_216,3D4 ,657,35.29,123.44,1941.28,0.37,1.06,,
_1_25_2021 10_10_27 AM_217,3D5,657,44.82,143.41,2503.83,0.48,1.07,,
_1_25_2021 10_16_27 AM_218,3D6,657,45.81,144.91,2511.96,0.48,1.05,,
_1_25_2021 10_22_28 AM_219,3D7,657,40.69,139.43,2385.42,0.46,1.13,,
_1_25_2021 9_40_24 AM_212,3C12,692,50.74,97.58,1262.98,0.24,0.48,,
_1_25_2021 9_46_24 AM_213,3D1,692,42.05,89.44,999.10,0.19,0.46,,
_1_25_2021 9_52_25 AM_214,3D2,692,44.57,91.84,1095.17,0.21,0.47,,
_1_25_2021 9_58_25 AM_215,3D3,692,36.25,84.90,871.08,0.17,0.46,,
_1_25_2021 10_28_28 AM_220,3D12,693,38.36,78.97,719.01,0.14,0.36,,
_1_25_2021 10_34_29 AM_221,3E1,693,35.87,75.64,610.86,0.12,0.33,,
_1_25_2021 10_46_30 AM_223,3E3,693,37.90,76.38,619.14,0.12,0.32,,
_1_25_2021 10_52_31 AM_224,3E4,693,36.83,77.89,661.45,0.13,0.35,,
_1_25_2021 8_22_16 AM_199,3C3,766,38.89,207.04,3799.07,0.73,1.87,,
_1_25_2021 8_28_17 AM_200,3C4,766,35.99,203.44,3688.02,0.71,1.96,,
_1_25_2021 8_34_17 AM_201,3C5,766,45.20,241.77,4750.63,0.91,2.01,,
_1_25_2021 8_40_18 AM_202,3C6,766,43.35,227.08,4348.16,0.83,1.92,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
